j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
. 	Fp 	.
o 	DA 	O
senhor 	NC 	senhor
dursley 	NP 	Dursley
retirar 	VMI 	retirou
de 	SP 	de
o 	DA 	o
armário 	NC 	armário
o 	DA 	a
seu 	DP 	sua
gravata 	NC 	gravata
mais 	RG 	mais
vulgar 	AQ 	vulgar
para 	SP 	para
levar 	VMN 	levar
para 	SP 	para
o 	DA 	o
trabalho 	NC 	trabalho
, 	Fc 	,
enquanto 	RG 	enquanto
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
tagarelar 	VMI 	tagarelava
e 	CC 	e
se 	PP 	se
debater 	VMI 	debatia
para 	SP 	para
conseguir 	VMN 	conseguir
colocar 	VMN 	colocar
em 	SP 	em
o 	DA 	a
cadeirinha 	NC 	cadeirinha
de 	SP 	de
o 	DA 	as
refeição 	NC 	refeições
o 	DA 	o
pequeno 	AQ 	pequeno
dudley 	NP 	Dudley
que 	PR 	que
não 	RN 	não
parar 	VMI 	parava
de 	SP 	de
gritar 	VMN 	gritar
. 	Fp 	.
nenhum 	PI 	Nenhum
de 	SP 	de
ele 	PP 	eles
reparar 	VMI 	reparou
em 	SP 	em
o 	DA 	a
janela 	NC 	janela
, 	Fc 	,
através 	RG 	através
de 	SP 	de
o 	DA 	a
qual 	PR 	qual
ter 	VMI 	teria
poder 	VMP 	podido
ver 	VMN 	ver
um 	DI 	uma
enorme 	AQ 	enorme
coruja 	NC 	coruja
amarelar 	VMP 	amarelada
, 	Fc 	,
esvoaçar 	VMG 	esvoaçando
em 	SP 	em
grande 	AQ 	grande
alvoroço 	NC 	alvoroço
. 	Fp 	.
a 	SP 	A
o 	DA 	as
[??:??/??/??:??.30:am] 	W 	oito_e_meia_da_manhã
, 	Fc 	,
o 	DA 	o
senhor 	NC 	senhor
dursley 	NP 	Dursley
pegar 	VMI 	pegou
em 	SP 	em
o 	DA 	a
pasta 	NC 	pasta
, 	Fc 	,
dar 	VMI 	deu
um 	DI 	um
beijo 	NC 	beijo
de 	SP 	de
despedida 	NC 	despedida
a 	SP 	a
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
e 	CC 	e
tentar 	VMI 	tentou
fazer 	VMN 	fazer
o 	DA 	o
mesmo 	RG 	mesmo
o 	DA 	a
dudley 	NP 	Dudley
, 	Fc 	,
mas 	CC 	mas
não 	RN 	não
conseguir 	VMI 	conseguiu
porque 	CS 	porque
ele 	PP 	ele
estar 	VMI 	estava
o 	DA 	a
meio 	NC 	meio
de 	SP 	de
um 	DI 	uma
birra 	NC 	birra
, 	Fc 	,
atirar 	VMG 	atirando
com 	SP 	com
papa 	NC 	papa
a 	SP 	a
todas_as 	PI 	todas_as
parede 	NC 	paredes
. 	Fp 	.
« 	Fra 	«
coisa 	NC 	Coisinha
imprestável 	AQ 	imprestável
» 	Frc 	»
, 	Fc 	,
queixar 	VMI 	queixou
se 	PP 	se
o 	DA 	o
senhor 	NC 	senhor
dursley 	NP 	Dursley
depois 	RG 	depois
de 	SP 	de
sair 	VMN 	sair
de 	SP 	de
casa 	NC 	casa
, 	Fc 	,
entrar 	VMN 	entrar
em 	SP 	em
o 	DA 	o
carro 	NC 	carro
e 	CC 	e
afastar 	VMN 	afastar
se 	PP 	se
de 	SP 	de
o 	DA 	o
número 	NC 	número
4 	Z 	quatro
. 	Fp 	.
só 	RG 	Só
quando 	RG 	quando
chegar 	VMI 	chegou
a 	SP 	a
o 	DA 	a
esquina 	NC 	esquina
ter 	VMI 	teve
o 	DA 	o
primeiro 	AO 	primeiro
sinal 	NC 	sinal
de 	SP 	de
que 	PR 	que
algo 	PI 	algo
estranhar 	VMI 	estranho
se 	PP 	se
passar 	VMI 	passava
- 	Fg 	-
um 	DI 	uma
gata 	NC 	gata
estudar 	VMI 	estudava
um 	DI 	um
mapa 	NC 	mapa
. 	Fp 	.
em 	SP 	Em
o 	DA 	o
primeiro 	AO 	primeiro
segundo 	NC 	segundo
, 	Fc 	,
o 	DA 	o
senhor 	NC 	senhor
dursley 	NP 	Dursley
não 	RN 	não
ter 	VMI 	teve
consciência 	NC 	consciência
do_que 	CS 	do_que
virar 	VMI 	vira
- 	Fg 	-
mas 	CC 	mas
, 	Fc 	,
depois 	RG 	depois
, 	Fc 	,
voltar 	VMI 	voltou
o 	DA 	a
cabeça 	NC 	cabeça
para 	SP 	para
olhar 	VMN 	olhar
melhor 	AQ 	melhor
. 	Fp 	.
e 	CC 	E
lá 	RG 	lá
estar 	VMI 	estava
o 	DA 	a
gata 	NC 	gata
malhar 	VMP 	malhada
, 	Fc 	,
em 	SP 	em
o 	DA 	a
esquina 	NC 	esquina
de 	SP 	de
o 	DA 	a
privet_drive 	NP 	Privet_Drive
, 	Fc 	,
mas 	CC 	mas
não 	RN 	não
haver 	VMI 	havia
mapa 	NC 	mapa
nenhum 	PI 	nenhum
a 	SP 	a
o 	DA 	a
vista 	NC 	vista
. 	Fp 	.
onde 	RG 	Onde
diabo 	NC 	diabo
ter 	VMI 	tinha
ele 	PP 	ele
o 	DA 	a
cabeça 	NC 	cabeça
? 	Fit 	?
ser 	VMI 	É
claro 	AQ 	claro
que 	CS 	que
ter 	VMI 	tinha
ser 	VMP 	sido
um 	DI 	uma
ilusão 	NC 	ilusão
de 	SP 	de
óptica 	NC 	óptica
. 	Fp 	.
o 	DA 	O
senhor 	NC 	senhor
dursley 	NP 	Dursley
piscar 	VMI 	piscou
o 	DA 	os
olho 	NC 	olhos
e 	CC 	e
fixar 	VMI 	fixou
bem 	RG 	bem
o 	DA 	a
gata 	NC 	gata
. 	Fp 	.
ele 	PP 	Ela
olhar 	VMI 	olhou
para 	SP 	para
ele 	PP 	ele
. 	Fp 	.
quando 	RG 	Quando
o 	DA 	o
senhor 	NC 	senhor
dursley 	NP 	Dursley
virar 	VMI 	virou
o 	DA 	a
esquina 	NC 	esquina
para 	SP 	para
subir 	VMN 	subir
o 	DA 	a
rua 	NC 	rua
, 	Fc 	,
espreitar 	VMI 	espreitou
por 	SP 	por
o 	DA 	o
retrovisor 	NC 	retrovisor
. 	Fp 	.
o 	DA 	A
gata 	NC 	gata
ler 	VMI 	lia
agora 	RG 	agora
o 	DA 	a
